Activity Type,Date,Favorite,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress ScoreÂ®,Grit,Flow,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time
Strength Training,2021-08-14 16:21:01,False,0.0,302,00:55:41,103,131,0.9,0.0,0.0,0.0,0.0,0.0,0.0,99,18,0:00,0.0,0:00,No,55:40.65,1,0.0,00:00:00,00:55:46
Strength Training,2021-08-10 12:49:29,False,0.0,287,00:49:02,105,132,0.9,0.0,0.0,0.0,0.0,0.0,0.0,150,20,0:00,0.0,0:00,No,49:02.35,1,0.0,00:12:11,00:49:02
Strength Training,2021-08-08 17:08:46,False,0.0,389,00:56:50,111,148,1.3,0.0,0.0,0.0,0.0,0.0,0.0,94,14,0:00,0.0,0:00,No,56:50.32,1,0.0,00:07:50.2,01:38:51
Strength Training,2021-07-27 17:57:58,False,0.0,279,00:41:41,112,141,1.1,0.0,0.0,0.0,0.0,0.0,0.0,124,16,0:00,0.0,0:00,No,41:41.36,1,0.0,00:11:17,00:41:43
Strength Training,2021-07-18 16:00:26,False,0.0,221,00:40:25,103,136,0.6,0.0,0.0,0.0,0.0,0.0,0.0,203,23,0:00,0.0,0:00,No,40:25.39,1,0.0,00:12:12,00:40:31
Strength Training,2021-04-28 18:07:12,False,0.0,204,00:27:22,116,145,1.4,0.0,0.0,0.0,0.0,0.0,0.0,133,15,0:00,0.0,0:00,No,27:21.58,1,0.0,00:08:04.0,00:27:28
Strength Training,2021-04-11 16:56:56,False,0.0,105,00:13:06,116,133,0.7,0.0,0.0,0.0,0.0,0.0,0.0,69,7,0:00,0.0,0:00,No,13:06.18,1,0.0,00:05:43.9,00:14:08
Strength Training,2021-02-25 17:41:27,False,0.0,118,00:10:16,132,157,2.0,0.0,0.0,0.0,0.0,0.0,0.0,77,1,0:00,0.0,0:00,No,10:16.22,1,0.0,00:10:16,00:15:55
Strength Training,2020-09-01 14:44:18,False,0.0,218,00:39:44,101,129,0.4,0.0,0.0,0.0,0.0,0.0,0.0,134,13,0:00,0.0,0:00,No,39:43.81,1,0.0,00:09:23.4,00:39:44
Strength Training,2020-08-26 18:25:14,False,0.0,352,00:42:54,120,154,1.8,0.0,0.0,0.0,0.0,0.0,0.0,185,18,0:00,0.0,0:00,No,42:53.82,1,0.0,00:10:31,00:42:54
Strength Training,2020-08-24 16:39:51,False,0.0,222,00:34:12,108,137,0.8,0.0,0.0,0.0,0.0,0.0,0.0,156,15,0:00,0.0,0:00,No,34:12.31,1,0.0,00:09:10.3,00:34:32
Strength Training,2020-08-17 17:13:10,False,0.0,198,00:36:39,101,131,0.5,0.0,0.0,0.0,0.0,0.0,0.0,162,15,0:00,0.0,0:00,No,36:39.21,1,0.0,00:09:36.1,00:36:39
